,PH,Salinity_mean,Depth
0,8.21750021,35.16764625,11.0
1,8.21750021,35.16764625,2.0
2,8.21750021,35.16764625,4.0
3,8.21750021,35.16764625,3.0
4,8.218000412,35.102688,1.5
5,8.218000412,35.102688,1.5
6,8.218000412,35.102688,8.0
7,8.218500137,35.106329,3.0
8,8.218500137,35.106329,6.5
9,8.218500137,35.106329,4.5
10,8.217000008,35.105648,2.0
11,8.217000008,35.102398,5.0
12,8.217000008,35.102398,2.5
13,8.217000008,35.102398,5.0
14,8.217000008,35.098614,2.5
15,8.217000008,35.098614,2.0
16,8.217000008,35.106182,2.75
17,8.217000008,35.106182,3.0
18,8.217000008,35.106182,3.5
19,8.217000008,35.106182,5.0
20,8.217000008,35.106182,5.5
21,8.217000008,35.106182,2.5
22,8.217000008,35.106182,3.0
23,8.217000008,35.11125,3.0
24,8.217000008,35.11125,2.5
25,8.217000008,35.11125,2.75
26,8.217000008,35.11125,8.0
27,8.216499805,35.1168935,5.0
28,8.216499805,35.1168935,5.0
29,8.216499805,35.1168935,5.0
30,8.216499805,35.1168935,8.0
31,8.216499805,35.1168935,2.0
32,8.216499805,35.1168935,5.0
33,8.216499805,35.1168935,3.5
34,8.216499805,35.1168935,3.6
35,8.216499805,35.1168935,5.0
36,8.215000153,35.125641,3.0
37,8.215499878,35.1246265,8.5
38,8.215000153,35.127316,7.0
39,8.215999603,35.1159385,3.0
40,8.215999603,35.1159385,2.833333333
41,8.215499878,35.1230185,10.0
42,8.215499878,35.1230185,10.0
43,8.215499878,35.1230185,3.0
44,8.215499878,35.1230185,2.6
45,8.215499878,35.124598,3.0
46,8.215499878,35.124598,2.0
47,8.215499878,35.124598,3.0
48,8.215499878,35.124598,2.5
49,8.215499878,35.124598,2.625
50,8.21050024,35.082369,1.0
51,8.211000443,35.057789,2.0
52,8.21050024,35.082369,1.0
53,8.243000031,35.244148,2.0
54,8.243000031,35.2314185,8.0
55,8.243000031,35.2314185,15.0
56,8.243000031,35.244148,2.0
57,8.243000031,35.244148,2.0
58,8.243000031,35.244148,2.0
59,8.243000031,35.244148,2.0
60,8.243000031,35.244148,2.0
61,8.213999748,35.17709,4.0
62,8.213999748,35.17709,2.0
63,8.215000153,35.099083,5.0
64,8.215000153,35.099083,9.166666667
65,8.215000153,35.1000845,6.166666667
66,8.215000153,35.1000845,2.5
67,8.215000153,35.1000845,16.0
68,8.21449995,35.144927,10.0
69,8.215000153,35.101086,12.0
70,8.215000153,35.101086,11.0
71,8.215000153,35.101086,11.0
72,8.215000153,35.101086,9.0
73,8.215000153,35.101086,9.0
74,8.210000038,35.153126,4.0
75,8.211000443,35.278084,2.0
76,8.211000443,35.278084,2.0
77,8.211000443,35.278084,1.5
78,8.211000443,35.278084,13.0
79,8.211000443,35.278084,1.5
80,8.211000443,35.278084,1.5
81,8.211000443,35.278084,2.0
82,8.211000443,35.278084,1.921052632
83,8.211000443,35.278084,15.5
84,8.211000443,35.278084,12.5
85,8.211000443,35.278084,6.0
86,8.206999779,35.1768,8.0
87,8.206999779,35.1734315,1.5
88,8.206999779,35.1734315,1.916666667
89,8.206999779,35.170063,2.0
90,8.208000183,35.240696,12.0
91,8.208000183,35.240696,12.0
92,8.208000183,35.240696,11.0
93,8.208000183,35.240696,2.0
94,8.208000183,35.2016295,2.0
95,8.208000183,35.2016295,1.75
96,8.211999893,35.204185,1.0
97,8.211999893,35.2347735,2.0
98,8.211999893,35.2347735,2.0
99,8.211999893,35.2500675,1.25
100,8.211999893,35.2500675,2.0
101,8.211999893,35.265362,9.0
102,8.211999893,35.265362,2.0
103,8.213000298,35.151711,9.0
104,8.213000298,35.151711,1.5
105,8.213000298,35.1938995,2.0
106,8.213000298,35.1938995,2.0
107,8.213000298,35.1938995,11.5
108,8.213000298,35.1938995,2.0
109,8.213000298,35.236088,14.0
110,8.213000298,35.236088,1.0
111,8.213999748,35.1448345,4.0
112,8.213999748,35.1448345,4.25
113,8.213999748,35.1448345,2.5
114,8.213999748,35.1448345,2.0
115,8.213999748,35.1448345,3.5
116,8.213999748,35.1448345,4.0
117,8.213999748,35.1448345,3.25
118,8.213999748,35.140858,3.0
119,8.215000153,35.1376875,1.5
120,8.215000153,35.1376875,3.75
121,8.215000153,35.1376875,2.75
122,8.215000153,35.1376875,2.666666667
123,8.215000153,35.1376875,1.0
124,8.215000153,35.1376875,4.0
125,8.215000153,35.1376875,3.1875
126,8.215000153,35.1376875,4.0
127,8.213999748,34.970097,29.0
128,8.194999695,35.26305,1.0
129,8.196000099,35.291439,1.5
130,8.196000099,35.2689915,1.5
131,8.19699955,35.262638,2.0
132,8.210000038,35.239933,1.5
133,8.210000038,35.160507,2.0
134,8.210000038,35.160507,1.0
135,8.210000038,35.09628567,13.0
136,8.210000038,35.09628567,2.0
137,8.210000038,35.09628567,2.0
138,8.210000038,35.09628567,2.125
139,8.270999908,35.131153,2.5
140,8.194000244,35.0809385,3.0
141,8.194000244,34.94878,7.0
142,8.194000244,34.94878,7.0
143,8.194999695,35.066406,20.0
144,8.194999695,35.02652,12.0
145,8.195499897,35.148527,16.0
146,8.195499897,34.9590015,1.5
147,8.196000099,34.9181535,10.0
148,8.196000099,35.1052075,13.0
149,8.196000099,35.06707,5.0
150,8.196000099,35.06707,5.0
151,8.196000099,35.06707,5.333333333
152,8.196000099,35.303738,10.0
153,8.196000099,35.303738,10.0
154,8.196000099,35.303738,9.0
155,8.196000099,35.303738,10.0
156,8.19699955,34.948185,3.0
157,8.19699955,34.948185,3.0
158,8.19699955,34.913105,2.0
159,8.19699955,35.03203475,2.0
160,8.19699955,35.107786,8.0
161,8.19699955,35.107786,8.0
162,8.222000122,34.90641875,8.5
163,8.222000122,35.337914,10.2
164,8.222000122,35.337914,9.875
165,8.222000122,35.337914,10.5
166,8.222000122,35.337914,11.2
167,8.222000122,35.337914,12.075
168,8.222000122,35.337914,7.0
169,8.222000122,35.337914,10.3
170,8.222000122,35.337914,10.0
171,8.222000122,35.337914,10.7
172,8.222000122,35.337914,11.0
173,8.222499847,35.2874185,5.8
174,8.222499847,35.2874185,7.266666667
175,8.222499847,35.2874185,10.7
176,8.222499847,35.2874185,13.225
177,8.222499847,35.2874185,8.0
178,8.222499847,35.2874185,11.0
179,8.222499847,35.2874185,10.55
180,8.222499847,35.2874185,10.0
181,8.222000122,35.331669,15.5
182,8.222000122,35.331669,12.03333333
183,8.222000122,35.331669,14.0
184,8.222999573,35.37446,11.0
185,8.222999573,35.37446,10.9
186,8.222999573,35.37446,9.0
187,8.222999573,35.37446,13.9
188,8.222999573,35.37446,14.725
189,8.222999573,35.37446,12.0
190,8.222999573,35.247482,10.3
191,8.222999573,35.247482,9.725
192,8.222999573,35.247482,9.0
193,8.222999573,35.341358,11.2
194,8.222999573,35.341358,11.075
195,8.222999573,35.341358,10.0
196,8.222999573,35.390354,9.5
197,8.222999573,35.390354,10.6
198,8.222999573,35.390354,10.0
199,8.222999573,35.390354,10.0
200,8.223999977,35.303375,1.5
201,8.223999977,35.303375,1.5
202,8.223999977,35.4121245,1.5
203,8.223999977,35.4121245,1.5
204,8.223999977,35.4121245,0.5
205,8.223999977,35.4121245,0.5
206,8.223999977,35.520874,1.5
207,8.223999977,35.520874,1.5
208,8.225000381,35.328045,0.5
209,8.225000381,35.24769025,4.0
210,8.232999802,34.964661,8.5
211,8.232999802,34.9721375,8.0
212,8.232999802,34.9721375,5.0
213,8.232999802,34.9721375,8.5
214,8.234000206,34.952145,5.0
215,8.234999657,34.953987,11.5
216,8.234999657,34.953987,12.0
217,8.234999657,34.953987,5.0
218,8.234999657,34.9807565,6.0
219,8.237999916,34.946632,5.0
220,8.237999916,34.976231,8.0
221,8.237999916,34.976231,10.5
222,8.238666852,34.96916067,11.0
223,8.23900032,34.928169,11.0
224,8.199000359,35.206604,5.0
225,8.199000359,35.206604,6.0
226,8.199250221,35.253871,5.0
227,8.199000359,35.2294635,2.5
228,8.199000359,35.1930215,2.5
229,8.199000359,35.19606,12.0
230,8.199500084,35.234486,5.0
231,8.201000214,34.930576,7.666666667
232,8.201000214,34.930576,6.0
233,8.201000214,34.930576,6.0
234,8.201000214,34.930576,13.0
235,8.201999664,34.855976,6.0
236,8.201999664,34.855976,5.1
237,8.201999664,34.855976,4.0
238,8.201999664,34.855976,5.0
239,8.201999664,34.855976,5.0
240,8.201999664,34.855976,3.5
241,8.201499939,34.920881,2.0
242,8.201999664,34.8724115,3.766666667
243,8.201999664,34.8724115,3.0
244,8.201999664,34.8724115,3.0
245,8.201999664,34.9042585,5.466666667
246,8.201999664,34.9042585,4.5
247,8.201999664,34.9042585,4.0
248,8.201999664,34.922123,12.0
249,8.201999664,34.9042585,5.133333333
250,8.201999664,34.9042585,5.5
251,8.201999664,34.9042585,7.0
252,8.201999664,34.9042585,4.5
253,8.201999664,34.9109565,7.0
254,8.201999664,34.9045295,4.233333333
255,8.201999664,34.9045295,4.0
256,8.201999664,34.9045295,4.0
257,8.201999664,34.889389,7.266666667
258,8.201999664,34.889389,9.5
259,8.201999664,34.889389,7.0
260,8.201999664,34.889389,8.0
261,8.201999664,34.889389,10.5
262,8.201999664,34.889389,8.0
263,8.201999664,34.889389,9.366666667
264,8.201999664,34.889389,6.0
265,8.201999664,34.889389,5.0
