id,place,mag,depth
usc000nzvd,"94km NW of Iquique, Chile",8.2,25.0
usc000rki5,"19km SE of Little Sitkin Island, Alaska",7.9,109.0
usc000p27i,"53km SW of Iquique, Chile",7.7,22.4
usc000phx5,"93km SSE of Kirakira, Solomon Islands",7.6,22.56
usb000pr89,"70km SW of Panguna, Papua New Guinea",7.5,43.37
usc000piqj,"112km S of Kirakira, Solomon Islands",7.4,39.0
usb000slwn,"74km S of Intipuca, El Salvador",7.3,40.0
usb000pq41,"33km ESE of Petatlan, Mexico",7.2,24.0
usc000pft9,"56km WSW of Panguna, Papua New Guinea",7.1,60.53
usc000sxh8,"154km NW of Kota Ternate, Indonesia",7.1,45.0
usc000stdc,"144km NE of Ndoi Island, Fiji",7.1,434.0
usb000sk6k,Southern East Pacific Rise,7.0,16.54
usc000mnvj,"272km ESE of Hotan, China",6.9,10.0
usc000nzwm,"91km WNW of Iquique, Chile",6.9,28.42
usb000r2hc,"22km SSW of Kamariotissa, Greece",6.9,6.43
usc000rngj,"154km NNW of Visokoi Island, ",6.9,8.0
usc000rkg5,"80km SSE of Raoul Island, New Zealand",6.9,20.0
usb000ruzk,"99km NNE of Ndoi Island, Fiji",6.9,615.42
usc000rr6a,"4km W of Puerto Madero, Mexico",6.9,53.0
usb000rzki,Federated States of Micronesia region,6.9,13.0
